x,y,dbh [mm],Tree species
177.4958923,999.5511309,207.7443872,B
414.1146772,998.6412615,34.34057395,B
184.2212389,994.7320332,127.8760075,B
144.5374897,994.4945996,31.72717077,A
268.2492057,993.2754068,16.86582324,A
385.404945,990.8422957,41.3184941,B
262.5227178,990.7770401,273.3381444,A
125.2160044,990.001198,12.59178162,A
148.055425,989.026637,41.7297396,A
138.80604,986.737204,20.12326965,A
384.4197036,985.2073155,371.5485627,A
79.39090079,983.3629883,201.6791608,A
410.3807605,982.7967399,13.84687886,B
136.0973737,981.5095353,409.4288256,A
126.9641203,980.5399212,46.94035525,A
262.4906733,979.8422033,32.34133588,A
273.6355976,979.138853,28.60149577,A
138.5420972,978.4927055,49.36742628,A
152.6319929,978.3358139,32.06856715,A
400.3996213,977.9198205,332.2132478,B
187.7565664,977.0093723,38.8951489,B
255.8067334,976.8433118,23.23393923,A
182.7628476,976.2458182,30.69029427,B
262.0990145,975.8070882,361.3718626,A
180.6962569,975.7683854,36.28557407,B
252.8024378,975.2723408,13.59831948,A
118.76084,974.9025502,196.4292597,B
145.1786543,973.9735574,37.31132282,A
209.4810349,973.5123257,457.7803521,B
133.6589264,973.1337847,13.96458956,A
193.8915369,972.9747842,25.16728714,B
192.6579345,971.6261052,26.80826753,B
406.5819674,971.547457,26.61762147,B
195.8184387,971.5363767,471.244938,B
261.0730289,970.2871331,12.54233344,A
342.8840291,970.0045844,96.2409516,A
265.901547,969.6150948,24.69604321,A
210.1765704,969.3400828,48.51267903,B
35.73177895,969.13512,89.21420254,A
188.8022776,968.7324965,12.48063736,B
61.20235065,967.8162546,397.1332326,A
107.3315049,967.3869945,24.43823976,A
441.2280319,966.6482012,472.6981435,A
198.4475799,965.9724046,26.52740488,B
256.9065592,965.8996796,26.47183067,A
188.2936369,964.86235,21.97163208,B
318.142855,963.4873571,117.2096465,B
197.8015,963.2929514,25.43139808,B
203.3974986,962.6439047,33.67563962,B
196.2190985,962.4552141,42.10796135,B
126.1077958,962.3298235,11.65347645,A
439.6083419,960.5274794,272.839818,A
436.548877,960.481322,43.89381032,A
437.3958487,959.0897236,47.91822885,A
288.4311272,957.6591779,42.25207567,A
176.090167,957.3498832,299.7552341,A
399.0184216,957.3343128,14.16162449,B
120.9577689,957.1137009,367.9996666,B
174.3932167,956.8007664,15.31619179,B
229.5207009,955.3099887,28.70833878,A
183.1573932,955.1106918,17.78232974,B
482.1884925,952.2431311,27.95500575,A
117.5381802,951.9371854,33.68488497,B
115.8793116,951.5413654,302.5673748,A
179.1801489,950.8452243,10.54404094,B
423.4080886,949.1074919,96.50507042,B
475.7555893,948.6521999,282.6766156,B
453.5850169,948.1379724,12.4620598,A
111.3721858,945.4117472,20.16228373,B
307.5158608,942.2712475,77.14340169,A
329.7804445,926.5511343,244.2833954,B
