x [m],y [m],Tree species,dbh [mm]
82.56,160,Acer pseudoplatanus,78
137.12,159.66,Acer pseudoplatanus,93
92.07,159.22,Acer pseudoplatanus,84
128.77,159.1,Acer pseudoplatanus,109
127.72,158.57,Acer pseudoplatanus,75
135.32,158.26,Acer pseudoplatanus,70
144.45,158.25,Acer pseudoplatanus,88
148.57,158.24,Acer pseudoplatanus,104
135.82,157.78,Acer pseudoplatanus,98
152.14,157.58,Acer pseudoplatanus,126
135.24,157.55,Acer pseudoplatanus,79
127.61,157.23,Acer pseudoplatanus,77
127.23,156.93,Acer pseudoplatanus,79
136.32,156.35,Acer pseudoplatanus,86
137.34,154.75,Acer pseudoplatanus,110
128.09,154.48,Acer pseudoplatanus,67
151.01,153.62,Acer pseudoplatanus,85
135.82,152.88,Acer pseudoplatanus,118
140.62,151.87,Acer pseudoplatanus,116
128.21,151.18,Acer pseudoplatanus,78
152.51,151.04,Acer pseudoplatanus,128
145.16,149.71,Acer pseudoplatanus,178
138.01,148.81,Acer pseudoplatanus,158
136.5,148.64,Acer pseudoplatanus,93
138.52,148.28,Acer pseudoplatanus,112
146.2,146.79,Acer pseudoplatanus,129
147.61,146.63,Acer pseudoplatanus,173
151.12,146.36,Acer pseudoplatanus,70
149.75,146.15,Acer pseudoplatanus,108
147.08,145.78,Acer pseudoplatanus,94
109.28,144.94,Acer pseudoplatanus,550
79.84,143.96,Acer pseudoplatanus,514
149.53,143.77,Acer pseudoplatanus,183
95.48,143.61,Acer pseudoplatanus,89
139.99,142.9,Acer pseudoplatanus,125
152.44,142.76,Acer pseudoplatanus,75
152.17,142.52,Acer pseudoplatanus,94
8.1,142.45,Acer pseudoplatanus,93
141.36,142.37,Acer pseudoplatanus,81
7.42,142.29,Acer pseudoplatanus,93
7.5,141.97,Acer pseudoplatanus,102
141.82,141.71,Acer pseudoplatanus,183
134.81,141.7,Acer pseudoplatanus,102
133.12,141.6,Acer pseudoplatanus,115
118.27,141.35,Acer pseudoplatanus,666
94.26,141.31,Acer pseudoplatanus,71
153.04,141.17,Acer pseudoplatanus,116
139.62,140.96,Acer pseudoplatanus,79
134.65,140.95,Acer pseudoplatanus,76
91.5,140.87,Acer pseudoplatanus,96
64.11,140.67,Acer pseudoplatanus,70
150.7,140.37,Acer pseudoplatanus,86
142.41,139.39,Acer pseudoplatanus,76
141.3,138.44,Acer pseudoplatanus,82
143.16,138.12,Acer pseudoplatanus,179
143.74,137.46,Acer pseudoplatanus,97
143.22,136.79,Acer pseudoplatanus,79
142.04,136.22,Acer pseudoplatanus,92
135.94,136.22,Acer pseudoplatanus,164
73.86,136.12,Acer pseudoplatanus,70
74.28,135.64,Acer pseudoplatanus,71
54.63,135.05,Acer pseudoplatanus,76
9.47,134.17,Acer pseudoplatanus,74
141.33,134.08,Acer pseudoplatanus,94
8.88,132.5,Acer pseudoplatanus,86
146.51,132.23,Acer pseudoplatanus,82
150.3,131.79,Acer pseudoplatanus,71
153.71,130.74,Acer pseudoplatanus,86
148.59,130.58,Acer pseudoplatanus,112
134.59,130.58,Acer pseudoplatanus,81
147.34,130.4,Acer pseudoplatanus,93
142.6,125.83,Acer pseudoplatanus,70
143.3,125.81,Acer pseudoplatanus,98
147.48,125.36,Acer pseudoplatanus,106
118.54,125.32,Acer pseudoplatanus,97
100.99,124.48,Acer pseudoplatanus,71
143.35,124.25,Acer pseudoplatanus,91
85.58,122.94,Acer pseudoplatanus,93
81.68,122.61,Acer pseudoplatanus,75
81.39,122.41,Acer pseudoplatanus,77
87.65,120.41,Acer pseudoplatanus,72
88.81,120.09,Acer pseudoplatanus,74
89.86,119.1,Acer pseudoplatanus,76
140.83,118.83,Acer pseudoplatanus,148
138.78,118.49,Acer pseudoplatanus,84
142.99,118.35,Acer pseudoplatanus,120
145.03,118.33,Acer pseudoplatanus,75
139.26,118.05,Acer pseudoplatanus,155
142.67,117.12,Acer pseudoplatanus,97
115.21,117.04,Acer pseudoplatanus,705
8.97,116.87,Acer pseudoplatanus,78
140.73,116.79,Acer pseudoplatanus,102
83.92,116.06,Acer pseudoplatanus,83
84.03,115.88,Acer pseudoplatanus,102
141.83,114.32,Acer pseudoplatanus,123
13.01,114.17,Acer pseudoplatanus,72
147.61,113.52,Acer pseudoplatanus,366
87.87,112.99,Acer pseudoplatanus,527
130.45,112.94,Acer pseudoplatanus,120
10.64,112.34,Acer pseudoplatanus,70
80.17,110.13,Acer pseudoplatanus,95
11.51,110.08,Acer pseudoplatanus,79
136.08,108.14,Acer pseudoplatanus,149
131.26,107.76,Acer pseudoplatanus,141
125.76,107.72,Acer pseudoplatanus,106
148.04,107.19,Acer pseudoplatanus,137
113.3,107.02,Acer pseudoplatanus,101
125.01,106.78,Acer pseudoplatanus,71
130.31,106.57,Acer pseudoplatanus,92
120.89,106.01,Acer pseudoplatanus,75
76.28,105.98,Acer pseudoplatanus,97
127.37,105.07,Acer pseudoplatanus,105
21.84,104.91,Acer pseudoplatanus,98
108.51,104.54,Acer pseudoplatanus,486
137.55,104.52,Acer pseudoplatanus,90
130.38,103.89,Acer pseudoplatanus,107
120.33,103.76,Acer pseudoplatanus,97
138.96,103.54,Acer pseudoplatanus,190
136.48,103.53,Acer pseudoplatanus,171
136.13,103.3,Acer pseudoplatanus,98
122.79,103.04,Acer pseudoplatanus,77
137.78,102.91,Acer pseudoplatanus,90
138.34,102.46,Acer pseudoplatanus,133
80.4,101.87,Acer pseudoplatanus,98
101.31,101.29,Acer pseudoplatanus,121
19.81,101.13,Acer pseudoplatanus,77
130.77,100.38,Acer pseudoplatanus,77
109.65,100.38,Acer pseudoplatanus,129
138.15,98.8,Acer pseudoplatanus,197
23.66,98.79,Acer pseudoplatanus,85
75.31,98.76,Acer pseudoplatanus,78
7.41,97.76,Acer pseudoplatanus,78
32.98,97.72,Acer pseudoplatanus,76
20.46,97.62,Acer pseudoplatanus,75
70.85,97.42,Acer pseudoplatanus,82
96.65,97.1,Acer pseudoplatanus,104
107.41,96.82,Acer pseudoplatanus,126
151.63,96.3,Acer pseudoplatanus,128
116.85,96.25,Acer pseudoplatanus,131
59.15,96.19,Acer pseudoplatanus,98
59.12,96.17,Acer pseudoplatanus,78
15.21,95.96,Acer pseudoplatanus,84
103.79,95.62,Acer pseudoplatanus,121
103.82,95.3,Acer pseudoplatanus,89
126.88,94.34,Acer pseudoplatanus,111
140.46,93.91,Acer pseudoplatanus,131
99.53,93.73,Acer pseudoplatanus,82
18.72,93.63,Acer pseudoplatanus,80
140.72,91.73,Acer pseudoplatanus,144
103.97,91.27,Acer pseudoplatanus,74
105.61,91.02,Acer pseudoplatanus,96
111.76,89.83,Acer pseudoplatanus,84
139.83,89.36,Acer pseudoplatanus,199
4.98,89.09,Acer pseudoplatanus,297
101.18,88.84,Acer pseudoplatanus,77
101.08,88.47,Acer pseudoplatanus,187
25.32,87.23,Acer pseudoplatanus,91
122.01,86.89,Acer pseudoplatanus,152
98.49,85.45,Acer pseudoplatanus,117
134.5,85.35,Acer pseudoplatanus,108
129.79,84.6,Acer pseudoplatanus,193
90.91,83.67,Acer pseudoplatanus,128
35.91,83.28,Acer pseudoplatanus,75
77.87,82.9,Acer pseudoplatanus,102
58.08,82.86,Acer pseudoplatanus,106
113.37,82.63,Acer pseudoplatanus,136
117.59,81.69,Acer pseudoplatanus,99
